Number,Question
1,What Christmas theme is 'tiny vita' an anagram of? A) Nativity B) St Nicholas C) Tinitavyy
2,Entitled ‘The Bear and the Hare’ whose Christmas advert of 2013 had Lily Allens ‘Somewhere only we know’ as its soundtrack? A) Sainsburys B) John Lewis C) Marks & Spencer
3,Which retailer launched their Christmas advertising campaign in 2006 with ‘This isn’t just Christmas’ A) Waitrose B) Marks & Spencer C) Aldi
4,Who wished it could be Christmas every day in the 70’s? A) Wisard B) Wizard C) Wizzard
5,"Shakin' Stevens had a a Christmas No.1 in 1985 with ""Merry Christmas Everyone"" , but what was his birth name? A) Michael Barratt B) Michael Andrews C) Gary Jules"
6,Which actor famously said 'I always wanted to have Christmas in Turkey'? A) Roger Moore B) Timothy Dalton C) Pierce Brosnan
7,Which Country also has inhabitants living in Bethlehem outside of the Middle East? A) America B) Wales C) Scotland
8,How many kings presented gifts to Jesus in the Bible story? A) Three B) Four C) It doesn't Say
9,Which department store popularised the story of Rudolph? A) Montgomery Ward B) Harvey Nicholls C) Selfridges
10,In which year did astronauts broadcast Jingle Bells from space? A) 1972 B) 1983 C) 1965
11,What is the most-recorded christmas song? A) Jingle Bells B) Silent Night C) 12 Days of Christmas
12,In which year did the American Congress hold their first session on December 25th? A) 1789 B) 1762 C) 1804
13,When was the earliest record of the shortening of Christmas to Xmas? A) 1790 B) 1906 C) 1021
14,In which country did Candy Canes originate? A) America B) Britain C) Germany
15,Which famous horror film contains the letters 'Plegit'? A) Friday 13th B) Poltergeist C) Beetlejuice
16," In the movie ""Lost in Translation"" (2003), where is the main setting? A) New York B) Paris C) Tokyo"
17," Who directed the 2004 superhero film ""Spider-Man 2""? A) Sam Raimi B) Danny Boyle C) Joss Wheadon"
18,Phantom Menace was also a character in which early sci-fi comic series? A) Battelstar Galactica B) Doctor Who C) Flash Gordon
19,"Which 1993 Christmas film follows the misadventures of Jack Skellington, Halloweentown's pumpkin king? A) Scrooged B) The Nightmare before Christmas C) Love Actually"
20,What is the name of the elf played by Will Ferrell in the 2003 film Elf? A) Buddy B) Bushy C) Shiney
21,"Ted Danson played a demon in the tv series The Good Place, but in which long running comedy did he become famous? A) Cheers B) 30 Rock C) Friends"
22,"In which film franchise does Eddie Murphy play Axel Foley, a Detroit detective? A) Rush Hour B) Beverly Hills Cop C) Lethal Weapon"
23,Which recently-deceased Star Trek actor appeared on TV show 'The Big Bang Theory' A) Will Wheaton B) Leonard Nemoy C) William Shatner
24,What is the maiden surname of Penny from TV Show 'The Big Bang Theory'? A) Smith B) Johnson C) Undeclared
25,"In the TV show 'Friends', which character had an italian background? A) Joey B) Ross C) Chandler"
26,The café 'Central Perk' was made famous by which TV Show? A) The Big Bang Theory B) How I met your Mother C) Friends
27,Which of the following was not a dragon from the Game of Thrones universe? A) Drogon B) Balerion C) Caraves
28,What is the title of the next planned Avengers film? A) Avengers: Endgame B) Avengers: Doomsday C) Avengers: Secret Wars
29,Which Avengers film was the highest grossing at the box-office? A) Avengers: Endgame B) Avengers: Infinity War C) Avengers: Assemble
30,Who played Batman in the 1997 film Batman and Robin? A) Michael Keaton B) George Clooney C) Val Kilmer
31,Which film directed by Ridley Scott starred Harrison Ford and Rutger Hauer? A) Blade Runner B) Indiana Jones C) Alien
32,Which animal made the roaring noise at the MGM trademark video? A) Lion B) Tiger C) Hyena
33,What creature is a Brown Recluse? A) Spider B) Snake C) Scorpion
34,Shiba Inus are small hunting dogs native to which country? A) Japan B) Korea C) China
35,"Found in all water regions of the world and feeding on tiny fish, algae and plankton,which creature is synonymous with a derogatory name for a small person? A) Pirhana B) Plankton C) Shrimp"
36,"The Shrew is a relatively solitary animal that weighs up to 4 ounces, but what is its top speed? A) 8mph B) 16mph C) 6mph"
37,"Sheep are widely farmed in the Uk, but as of 2018 how many sheep and lambs were in the UK? A) 10.5 million B) 24.5 million C) 22.5 million"
38,Which shark is the second largest and is slow moving and prone to swimming or floating on the surface with its mouth agape? A) Hammerhead Shark B) Basking Shark C) Tiger Shark
39,What type of animal is a Bobcat? A) Puma B) Lynx C) Jaguar
40,Which bird is the deepest diving? A) Heron B) Penguin C) Swallow
41,The American alligator can grow up to which length? A) 2m B) 4m C) 6m
42," ‘Pal’ was the name of the dog who played Lassie in the film ‘Lassie Come-Home’, but what breed was Pal? A) Rough Collie B) Border Collie C) Cocker Spaniel"
43,What was the name of Carl Fredericksons dog in the film 'Up'? A) Doug B) Pug C) Charlie
44,What kind of animal is a Drever? A) Dog B) Fish C) Bird
